Squadra;Turnover Points;Second Chance Points;Points in the Paint;Fast Break Points;Starter Points;Bench Points;Best Partial;OPPONENT;WL;HA;SEASON_LEVEL;DATA
Luiss 2025;11;11;20;17;62;23;23 (63-40);OMNIA;W;H;STAGIONE_REGOLARE;20251012
Luiss 2025;14;7;40;21;33;45;LADISPOLI;W;H;STAGIONE_REGOLARE;20251026;
