No;Player;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;2PM;2PA;2P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;SR;PF;PFD;PIR;EFF;+/-;OPPONENT;WL;HA;SEASON_LEVEL;DATA
L;Team Total;-;85;28.0;78;35.9;11.0;36.0;30.6;17.0;42.0;40.5;18.0;28.0;64.3;17;34.0;51;14;11;11;1;1;25;22.0;87;91;-;OMNIA;W;H;STAGIONE_REGOLARE;20251012
L;Team Total;;78;30.0;69;43.5;8.0;34.0;23.5;22.0;35.0;62.9;10.0;22.0;45.5;13;30.0;43;17;3;8;5;3;21;18.0;91;97;-;LADISPOLI;W;H;STAGIONE_REGOLARE;20251026
L;Team Total;-;97;37.0;79;46.8;11.0;35.0;31.4;26.0;44.0;59.1;12.0;19.0;63.2;10;31.0;41;14;15;5;5;0;16;19.0;101;98;;MONTESACRO;L;A;STAGIONE_REGOLARE;20251102
L;Team Total;-;81;31.0;75;41.3;10.0;42.0;23.8;21.0;33.0;63.6;9.0;18.0;50.0;16;39.0;55;22;11;9;8;19;12;;104;111;;TEAMUP;W;H;STAGIONE_REGOLARE;20251109
L;Totale;-;88;32.0;68;47.1;11.0;34.0;32.4;21.0;34.0;61.8;13.0;18.0;72.2;8;30.0;38;14;14;9;4;1;17;17.0;97;98;-;VIOSBASKET;W;A;STAGIONE_REGOLARE;20251115
L;Team Total;-;94;27.0;74;36.5;9.0;31.0;29.0;18.0;43.0;41.9;31.0;50.0;62.0;17;30.0;47;13;15;15;3;0;20;28.0;99;91;-;PRIMAVALLE;W;A;STAGIONE_REGOLARE;20251130
L;Team Total;-;73;27;66;40.9;15;39;38.5;12;27;44.4;4;14;28.6;10;25;35;19;1;2;0;0;19;7;67;79;-;LADISPOLIBASKET;W;H;STAGIONE_REGOLARE;20251207
